Compiled shader: ASESampleShaders/AnimatedFireShaderFunction, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: ASESampleShaders/AnimatedFireShaderFunction, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: ASESampleShaders/Simple/SimpleRefraction, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: ASESampleShaders/Simple/SimpleRefraction, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: ASESampleShaders/Simple/SimpleRefraction, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Custom/HealthChangeBar, pass: Default, stage: all, keywords INVERTED_ADDITIONAL_TEXTURE
Compiled shader: Custom/HealthChangeBar, pass: Default, stage: all, keywords no keywords
Compiled shader: Custom/RadialFill, pass: unnamed, stage: all, keywords no keywords
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP INSTANCING_ON LIGHTPROBE_SH
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTPROBE_SH
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 INSTANCING_ON LIGHTPROBE_SH
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTPROBE_SH
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL INSTANCING_ON LIGHTPROBE_SH
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING
Compiled shader: CutoutDiffuse_Simple, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: GUI/Text Shader, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/BlendModesOverlay, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/BlitCopy, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/Dof/DepthOfFieldHdr, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/FastBlur, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/Internal-Flare, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/Internal-GUITexture, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/Internal-Halo, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Hidden/Internal-Halo, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/InternalClear, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/InternalErrorShader, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/SimpleClear, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/SunShaftsComposite, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/TerrainEngine/Details/Billboard/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/Billboard/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/Billboard/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/Billboard/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/Billboard/WavingDoublePass, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Details/BillboardWavingDoublePass, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SCREEN SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON LIGHTMAP_SHADOW_MIXING SHADOWS_SHADOWMASK
Compiled shader: Hidden/TerrainEngine/Details/WavingDoublePass, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-Base, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Diffuse-BaseGen, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/TerrainEngine/Splatmap/Standard-Base, pass: ShadowCaster, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Hidden/TerrainEngine/Splatmap/Standard-BaseGen, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Hidden/VacuumShaders/Fallback/VertexLit, pass: SHADOWCASTER, stage: all, keywords SHADOWS_DEPTH
Compiled shader: Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP LIGHTMAP_SHADOW_MIXING LIGHTPROBE_SH SHADOWS_SCREEN
Compiled shader: Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL FOG_EXP2 LIGHTMAP_ON
Compiled shader: Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTMAP_ON
Compiled shader: Legacy Shaders/Diffuse, pass: FORWARD, stage: all, keywords DIRECTIONAL LIGHTPROBE_SH
Compiled shader: Legacy Shaders/Particles/Additive, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Legacy Shaders/Particles/Additive, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Legacy Shaders/Particles/Alpha Blended Premultiply, pass: unnamed, stage: all, keywords no keywords
Compiled shader: Legacy Shaders/Particles/Alpha Blended, pass: unnamed, stage: all, keywords FOG_EXP
Compiled shader: Legacy Shaders/Particles/Alpha Blended, pass: unnamed, stage: all, keywords no keywords
