ShaderStripper
Shaders stripping during Player build

Shader: ASESampleShaders/Outline, Processed variants: : 225, Passed variants: 225, Stripped variants: 0
Shader: Hidden/BlendModesOverlay, Processed variants: : 5, Passed variants: 0, Stripped variants: 5
Shader: Hidden/BlitCopy, Processed variants: : 1, Passed variants: 0, Stripped variants: 1
Shader: Hidden/BlitCopyDepth, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/BlitCopyHDRTonemap, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/BlitCopyWithDepth, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/BlitToDepth, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/BlitToDepth_MSAA, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Compositing, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/ConvertTexture, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Dof/DepthOfFieldHdr, Processed variants: : 23, Passed variants: 0, Stripped variants: 23
Shader: Hidden/Dof/DX11Dof, Processed variants: : 3, Passed variants: 3, Stripped variants: 0
Shader: Hidden/FastBloom, Processed variants: : 6, Passed variants: 6, Stripped variants: 0
Shader: Hidden/FastBlur, Processed variants: : 5, Passed variants: 0, Stripped variants: 5
Shader: Hidden/Internal-CombineDepthNormals, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Internal-CubemapToEquirect, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Internal-DepthNormalsTexture, Processed variants: : 10, Passed variants: 10, Stripped variants: 0
Shader: Hidden/Internal-Flare, Processed variants: : 1, Passed variants: 0, Stripped variants: 1
Shader: Hidden/Internal-GUIRoundedRect, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-GUIRoundedRectWithColorPerBorder, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-GUITexture, Processed variants: : 2, Passed variants: 0, Stripped variants: 2
Shader: Hidden/Internal-GUITextureBlit, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-GUITextureClip, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-GUITextureClipText, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-Halo, Processed variants: : 2, Passed variants: 0, Stripped variants: 2
Shader: Hidden/Internal-MotionVectors, Processed variants: : 3, Passed variants: 3, Stripped variants: 0
Shader: Hidden/Internal-ODSWorldTexture, Processed variants: : 10, Passed variants: 10, Stripped variants: 0
Shader: Hidden/Internal-StencilWrite, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Internal-UIRAtlasBlitCopy, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/Internal-UIRDefault, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/Internal-UIRDefaultWorld, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/SimpleClear, Processed variants: : 1, Passed variants: 0, Stripped variants: 1
Shader: Hidden/SunShaftsComposite, Processed variants: : 5, Passed variants: 0, Stripped variants: 5
Shader: Hidden/TextCore/Distance Field SSD, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/VideoComposite, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Hidden/VideoDecode, Processed variants: : 15, Passed variants: 15, Stripped variants: 0
Shader: Hidden/VideoDecodeAndroid, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: Hidden/VR/BlitFromTex2DToTexArraySlice, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Hidden/VR/BlitTexArraySlice, Processed variants: : 1, Passed variants: 1, Stripped variants: 0
Shader: Legacy Shaders/Diffuse, Processed variants: : 180, Passed variants: 3, Stripped variants: 177
Shader: Legacy Shaders/VertexLit, Processed variants: : 10, Passed variants: 1, Stripped variants: 9
Shader: Oleg/BlobShadow, Processed variants: : 8, Passed variants: 2, Stripped variants: 6
Shader: Oleg/Characters_Body, Processed variants: : 66, Passed variants: 7, Stripped variants: 59
Shader: Oleg/EyeShadow, Processed variants: : 8, Passed variants: 2, Stripped variants: 6
Shader: Oleg/OpaqueDiffuseStandart, Processed variants: : 532, Passed variants: 19, Stripped variants: 513
Shader: Particles/Priority Additive, Processed variants: : 9, Passed variants: 0, Stripped variants: 9
Shader: Projector/Multiply, Processed variants: : 2, Passed variants: 2, Stripped variants: 0
Shader: Skybox/Procedural, Processed variants: : 3, Passed variants: 0, Stripped variants: 3
Shader: Sprites/Default, Processed variants: : 4, Passed variants: 0, Stripped variants: 4
Shader: Sprites/Mask, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Bitmap, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Bitmap Custom Atlas, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Distance Field, Processed variants: : 4, Passed variants: 0, Stripped variants: 4
Shader: TextMeshPro/Distance Field (Surface), Processed variants: : 18, Passed variants: 18, Stripped variants: 0
Shader: TextMeshPro/Distance Field Overlay, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Mobile/Bitmap, Processed variants: : 5, Passed variants: 5, Stripped variants: 0
Shader: TextMeshPro/Mobile/Distance Field, Processed variants: : 4, Passed variants: 0, Stripped variants: 4
Shader: TextMeshPro/Mobile/Distance Field - Masking, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Mobile/Distance Field (Surface), Processed variants: : 8, Passed variants: 8, Stripped variants: 0
Shader: TextMeshPro/Mobile/Distance Field Overlay, Processed variants: : 4, Passed variants: 4, Stripped variants: 0
Shader: TextMeshPro/Sprite, Processed variants: : 4, Passed variants: 0, Stripped variants: 4
Shader: UI/Default, Processed variants: : 4, Passed variants: 3, Stripped variants: 1
Shader: UnityBuiltIn/Legacy Shaders/Diffuse, Processed variants: : 249, Passed variants: 6, Stripped variants: 243
Shader: UnityBuiltIn/Legacy Shaders/Transparent/Diffuse, Processed variants: : 49, Passed variants: 2, Stripped variants: 47
Shader: UnityBuiltIn/Legacy Shaders/Transparent/VertexLit, Processed variants: : 8, Passed variants: 8, Stripped variants: 0
Shader: UnityBuiltIn/Legacy Shaders/VertexLit, Processed variants: : 10, Passed variants: 1, Stripped variants: 9
Shader: UnityBuiltIn/Mobile/Diffuse, Processed variants: : 340, Passed variants: 340, Stripped variants: 0
Shader: UnityBuiltIn/Mobile/VertexLit, Processed variants: : 20, Passed variants: 2, Stripped variants: 18

-----Summary-----
Total shaders: 68
Total processed SV: 1920
Total passed SV: 759
Total stripped SV: 1161
